Publication Number,B60K6_48,Y02T10_6221,B60K6_387,B60K6_405,B60K2006_4825,Y02T10_6252,B60K6_42,B60K6_02,B60K6_26,B60K6_365,B60K6_547,B60K17_02,B60K6_40,B60K6_485,H02K7_108,H02K51_00,Y10S903_902,F16H3_66,F16D25_0638,H02K7_006
US6880664,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
US6455968,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1
WO2017012777A1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
US20040204286A1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0
US9421854,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0
US9751391,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
US7017693,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
US7353895,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
US6258001,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
US10179505,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
US7223191,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
US5562565,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
WO2010007122A1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0
US6474428,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1
US20190039447A1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
WO2017137212A1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
US9139075,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
WO2003031809A1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1
FR2791009B1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
US9950605,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
EP1027224B1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
EP1310398A1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1
DE19917295B4,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
EP0725474B1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
WO2000056565A1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1
US5773904,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
US7114585,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
WO2015040284A1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
US6719656,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
EP1243788A1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
US8905885,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
DE19916489C2,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
US9266419,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
US6354974,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0
EP1253036A1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
US6394924,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0
US9708795,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0
EP1396921A3,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
US20190168601A1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
US9969256,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
US6253437,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
EP1279828B1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
FR2839759B1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
FR2839758B1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
US9636990,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
