Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/547,B60K6/365,B60K6/405,B60K2006/4825,Y02T10/6252
WO2017012777A1,1,1,1,1,1,1,1,1
WO2018113840A1,1,1,1,1,0,1,1,1
US7353895,1,1,1,1,0,1,1,1
US8297249,1,1,1,1,0,1,1,1
US10272762,1,1,1,0,1,1,1,1
WO2002085659A1,1,1,1,1,1,1,0,0
DE10120174A1,1,1,1,1,1,1,0,0
EP1253036A1,1,1,1,1,1,1,0,0
US6880664,1,1,1,1,1,1,0,0
US7223191,1,1,1,1,1,1,0,0
EP1870273B1,1,1,1,1,1,1,0,0
EP3290247B1,1,1,1,1,1,0,1,1
US9944289,1,1,1,1,1,0,1,1
US10246082,1,1,1,1,1,0,1,1
WO2018197109A1,1,1,1,1,1,0,1,1
US20180093559A1,1,1,1,1,1,0,1,1
US10378616,1,1,1,1,1,0,1,1
US9586470,1,1,1,1,1,0,1,1
US8834314,1,1,1,1,1,0,1,1
US10253851,1,1,1,1,1,0,1,1
US9950605,0,0,1,1,1,1,1,1
US20040204286A1,1,1,1,1,1,1,0,0
EP2244899B1,1,1,1,1,1,1,0,0
DE102011117781A1,1,1,1,1,0,1,1,1
DE10140366A1,1,1,1,1,1,1,0,0
US5562565,1,1,1,1,1,1,0,0
US9421854,1,1,0,1,1,1,1,1
US20170167546A1,1,1,1,1,1,0,1,1
US10328785,1,1,1,1,1,0,1,1
WO2019114855A1,1,0,1,1,0,1,1,0
CN109278527A,1,0,1,1,0,1,1,0
US10384526,1,1,1,0,0,1,1,1
US10071623,1,1,1,0,0,1,1,1
EP3046793A1,1,1,1,0,0,1,1,1
US9718344,1,1,1,0,0,1,1,1
US9051976,1,1,1,0,0,1,1,1
US9139075,1,1,1,0,0,1,1,1
US10308105,1,1,1,0,0,1,1,1
WO2015040284A1,1,1,1,0,0,1,1,1
US9222524,1,1,1,0,0,1,1,1
EP2698269A3,1,1,0,1,0,1,1,1
EP1243788A1,1,1,0,1,0,1,1,1
US8905885,1,1,0,0,1,1,1,1
US6719656,1,1,1,0,1,1,0,0
US7114585,1,1,1,0,1,1,0,0
WO2017168377A8,1,1,0,1,0,1,1,1
US9266419,1,1,1,1,0,1,0,0
US7448975,1,1,1,0,1,1,0,0
US7679238,1,1,1,0,1,1,0,0
US6258001,1,1,1,1,0,1,0,0
US20190047398A1,1,0,1,1,1,1,0,0
US9878605,1,1,1,1,0,1,0,0
EP0727332A1,1,1,1,1,0,1,0,0
US9327713,1,1,1,1,0,1,0,0
US6474428,1,1,0,1,1,1,0,0
US5427196,1,1,0,1,1,1,0,0
WO2010007122A1,1,1,0,1,1,1,0,0
US20190039447A1,1,1,0,1,1,1,0,0
US20050107198A1,1,1,0,1,1,1,0,0
WO2019115126A1,1,0,1,1,1,0,1,0
US9790998,1,1,1,1,0,0,1,1
US9360055,1,1,1,1,0,0,1,1
US9555699,1,1,1,1,0,0,1,1
US10315659,1,1,1,1,0,0,1,1
US9677667,1,1,1,1,0,0,1,1
EP1042135B1,1,1,1,1,0,0,1,1
US20160339779A1,1,1,1,0,1,0,1,1
US9636986,1,1,1,0,1,0,1,1
US9744966,1,1,1,0,1,0,1,1
WO2018069439A3,1,1,1,1,0,0,1,1
US10189478,1,1,1,1,0,0,1,1
US9505297,1,1,1,1,0,0,1,1
US10351125,1,1,1,1,0,0,1,1
US9663097,1,1,1,1,0,0,1,1
US10272906,1,1,1,1,0,0,1,1
US10232845,1,1,1,1,0,0,1,1
US10220826,1,1,1,1,0,0,1,1
US9573584,1,1,1,1,0,0,1,1
US10414263,1,1,1,1,0,0,1,1
US10040445,1,1,1,1,0,0,1,1
US20190128380A1,1,1,1,1,0,0,1,1
US9731588,1,1,1,1,0,0,1,1
US9120482,1,1,1,1,0,0,1,1
US10005452,1,1,1,1,0,0,1,1
US9987916,1,1,1,1,0,0,1,1
US9222563,1,1,1,1,0,0,1,1
US20190084575A1,1,1,1,1,0,0,1,1
WO2016172742A1,1,1,1,0,1,0,1,1
EP2969620A1,1,1,1,0,1,0,1,1
US20180126836A1,1,1,1,0,1,0,1,1
US9073543,1,1,1,1,0,0,1,1
US6849026,1,1,1,1,0,0,1,1
US9956953,1,1,1,1,0,0,1,1
US9381908,1,1,1,1,0,0,1,1
WO2018113819A1,1,1,1,1,0,0,1,1
US20190168765A1,1,1,1,1,0,0,1,1
US9937914,1,1,1,1,0,0,1,1
WO2017178202A1,1,1,1,1,0,0,1,1
US9527375,1,1,1,1,0,0,1,1
US10232841,1,1,1,0,1,0,1,1
US9969254,1,1,1,1,1,0,1,1
DE102014220949A1,1,1,1,1,1,0,1,1
DE102014220973A1,1,1,1,1,1,0,1,1
US10406908,1,1,0,1,1,0,1,1
US20180319265A1,1,1,0,1,1,0,1,1
DE102005039929B4,1,1,1,1,1,0,0,0
US6974402,1,1,1,1,1,0,0,0
WO2007085359A1,1,1,1,1,1,0,0,0
US9637115,1,1,1,1,1,0,0,0
US5285111,1,1,1,1,1,0,0,0
WO2001010665A1,1,1,1,1,1,0,0,0
US9387753,1,1,1,1,1,0,0,0
US5637987,1,1,1,1,1,0,0,0
DE102014220967A1,1,1,1,1,1,0,1,1
US10246081,1,1,0,1,1,0,1,1
US9254737,1,1,0,1,1,0,1,1
US10300908,1,1,0,1,1,0,1,1
US20180354520A1,1,1,0,1,1,0,1,1
US10071622,1,1,0,1,1,0,1,1
US8983703,1,1,0,1,1,0,1,1
US20190210449A1,1,1,1,1,1,0,0,0
EP3093174A1,1,1,1,1,1,0,0,0
US20180281580A1,1,1,1,1,1,0,0,0
US20180319266A1,1,1,1,1,1,0,0,0
US8241174,1,1,1,1,1,0,0,0
WO2007085358A1,1,1,1,1,1,0,0,0
US20070102209A1,1,1,1,1,1,0,0,0
US10315502,1,1,1,1,1,0,0,0
US10272763,1,1,1,1,1,0,0,0
US7537534,1,1,1,1,1,0,0,0
WO2018046058A1,1,1,1,1,1,0,0,0
US9114699,1,1,1,1,1,0,0,0
DE10225250A1,1,1,1,1,1,0,0,0
US9517689,1,1,1,1,1,0,0,0
DE102005039928B4,1,1,1,1,1,0,0,0
WO2017137212A1,1,1,0,1,1,0,1,1
US10266046,1,1,0,1,1,0,1,1
EP2686585B1,1,1,0,1,1,0,1,1
US9162667,1,1,0,1,1,0,1,1
US10358025,1,1,1,1,1,0,0,0
WO2018059926A1,1,1,1,1,1,0,0,0
US5730675,1,1,1,1,1,0,0,0
US9636987,1,1,1,1,1,0,0,0
CN103161918B,1,1,1,1,1,0,0,0
WO2005049358A1,1,1,1,1,1,0,0,0
US9463687,1,1,1,1,1,0,0,0
US9834082,1,1,0,1,1,0,1,1
US9050882,1,1,0,1,1,0,1,1
US10272764,1,1,0,1,1,0,1,1
US9764630,1,1,1,1,1,0,0,0
US10252608,1,1,1,1,1,0,0,0
EP3218217A1,1,1,1,1,1,0,0,0
WO2018113831A1,1,1,1,1,1,0,0,0
US10399431,1,1,1,1,1,0,0,0
US9573457,1,1,1,1,1,0,0,0
US9677646,1,1,1,1,1,0,0,0
WO2011098201A1,1,1,1,1,1,0,0,0
US9517763,1,1,1,1,1,0,0,0
US10160305,1,1,1,1,1,0,0,0
US20180319264A1,1,1,1,1,1,0,0,0
US9631709,1,1,1,1,1,0,0,0
US5856709,1,1,1,1,1,0,0,0
DE102005039920B4,1,1,1,1,1,0,0,0
DE102015215071A1,1,1,1,1,1,0,1,1
US10106024,1,1,0,1,1,0,1,1
WO2014166745A1,1,1,0,1,1,0,1,1
US10011163,1,1,1,1,1,0,0,0
FR2833538B1,1,1,1,1,1,0,0,0
WO2018054717A1,1,1,1,1,1,0,0,0
US9597952,1,1,1,1,1,0,0,0
US8911315,1,1,1,1,1,0,0,0
US9579964,1,1,1,1,1,0,0,0
US9180872,1,1,1,1,1,0,0,0
US9387752,1,1,1,1,1,0,0,0
US10279796,1,1,1,1,1,0,0,0
WO2012076106A1,1,1,1,1,1,0,0,0
US20190168601A1,0,0,1,1,1,1,1,0
US9604530,0,0,1,1,1,1,0,0
US10183570,0,0,1,1,1,1,0,0
US10286771,0,0,1,1,1,1,0,0
US9683658,0,0,1,1,1,1,0,0
US9630487,0,0,1,1,1,1,0,0
US20150217632A1,1,1,1,0,0,1,1,1
DE102014216323B4,1,1,1,0,0,1,1,1
WO2019110285A1,1,0,1,0,1,1,1,0
WO2019105508A1,1,0,1,1,0,1,0,0
US20180264925A1,1,1,0,0,1,1,1,1
US6455968,1,0,1,1,0,1,0,0
WO2019105512A1,1,0,1,1,0,1,0,0
US7017693,1,0,1,1,0,1,0,0
WO2019001853A1,1,0,1,0,1,1,0,0
USR36678,1,1,1,1,0,1,0,0
US8636091,1,1,1,1,0,1,0,0
US20180238439A1,1,0,1,1,1,1,0,0
US9586468,1,0,0,1,1,1,0,0
US9783035,1,0,0,1,1,1,0,0
US9561793,1,0,1,1,0,0,1,1
US9751391,1,1,1,0,0,1,1,1
US9358969,1,0,1,1,0,0,1,1
US6612963,1,1,1,1,0,1,0,0
WO2015007283A1,1,1,1,0,0,1,1,1
JP3141262B2,1,1,1,1,1,1,0,0
US9937919,1,1,1,1,0,0,1,1
US20170232960A1,1,1,1,1,0,0,1,1
US6492742,1,1,0,1,1,1,0,0
US20170274757A1,1,1,1,1,0,0,1,1
US9816608,1,1,1,1,0,0,1,1
US9358870,1,1,0,1,0,1,1,0
DE102011089163A1,1,1,1,1,1,0,1,1
US6569054,1,1,1,1,1,1,0,0
FR3026062B1,1,1,1,1,1,0,1,1
US20170297423A1,1,1,1,0,1,0,1,1
DE102011089166A1,1,1,1,1,0,0,1,1
US9869354,1,1,1,1,0,0,1,1
US8874289,1,1,1,1,0,0,1,1
AT520650B1,1,0,1,1,1,0,0,0
EP3140142A1,1,0,1,1,1,0,0,0
US5875691,1,1,1,1,1,1,0,0
US9708795,1,0,1,1,1,0,0,0
US6533701,1,1,1,1,0,0,1,1
US10343691,1,0,1,1,1,0,0,0
WO2019025397A1,1,0,1,1,1,0,0,0
US10427516,1,0,1,1,1,0,0,0
US6878093,1,1,1,1,0,0,1,1
DE102016221735A1,1,1,0,1,1,0,1,1
DE102016213736A1,1,1,1,1,1,0,1,1
DE102016221115A1,1,1,1,1,1,0,1,1
DE102015218990A1,1,1,1,1,1,0,1,1
US9939031,1,1,1,1,0,0,1,0
DE102016213742A1,1,1,1,1,1,0,1,1
DE102016213706A1,1,1,1,1,1,0,1,1
AT519570A4,1,0,1,1,1,0,0,0
US10179505,1,0,1,1,1,0,0,0
WO2019110626A1,1,0,1,1,1,0,0,0
US20180320783A1,1,0,1,1,1,0,0,0
US20170305260A1,1,1,1,1,0,0,1,1
US9789757,1,1,1,1,0,0,1,0
EP2447571B1,1,1,0,1,1,0,1,1
US7604565,1,1,1,1,1,0,0,0
US10328925,1,1,1,1,0,0,1,0
US9381801,1,1,1,1,0,0,1,1
WO2015046151A1,1,1,1,1,0,0,1,1
US9937920,1,1,1,1,1,0,0,0
DE102014204795A1,1,1,1,0,1,0,1,1
WO2011036383A1,1,1,1,1,1,0,0,0
US20190176808A1,1,1,1,1,1,0,1,1
US8517876,1,1,1,1,1,0,0,0
WO2015046150A1,1,1,1,1,0,0,1,1
DE102015221502A1,1,1,1,1,1,0,1,1
US10266172,1,1,1,0,1,0,1,1
US20180208202A1,1,1,1,1,0,0,1,1
DE102014220959A1,1,1,0,1,1,0,1,1
DE102014220970A1,1,1,0,1,1,0,1,1
DE102015007439B3,1,1,1,1,1,1,0,0
US20180251019A1,1,1,1,1,1,0,0,0
DE102014220963A1,1,1,0,1,1,0,1,1
DE102014218608A1,1,1,0,1,1,0,1,1
DE102014220946A1,1,1,0,1,1,0,1,1
