Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/405,B60K2006/4825,Y02T10/6252,B60K6/42
US9139075,1,1,1,1,1,1,1
WO2018113840A1,1,1,1,1,1,1,0
US7353895,1,1,1,1,1,1,0
US10384526,1,1,1,1,1,1,0
US10071623,1,1,1,1,1,1,0
EP3046793A1,1,1,1,1,1,1,0
US9718344,1,1,1,1,1,1,0
US9051976,1,1,1,1,1,1,0
US8297249,1,1,1,1,1,1,0
US10308105,1,1,1,1,1,1,0
WO2017012777A1,1,1,1,1,1,1,0
US10272762,1,1,1,1,1,1,0
WO2015040284A1,1,1,1,1,1,1,0
US9222524,1,1,1,1,1,1,0
US7661495,1,1,1,1,0,0,1
US20150217632A1,1,1,1,1,1,1,0
DE102014216323B4,1,1,1,1,1,1,0
DE102011117781A1,1,1,1,1,1,1,0
US9751391,1,1,1,1,1,1,0
WO2015007283A1,1,1,1,1,1,1,0
US9834083,1,1,0,1,0,0,1
US9162667,1,1,0,0,1,1,1
US9533671,1,1,0,0,1,1,1
DE102015214861A1,1,1,0,0,1,1,1
US20190283565A1,1,0,1,1,1,0,0
WO2019102098A3,1,0,1,1,1,0,0
US10183567,1,0,1,1,1,0,0
WO2019114855A1,1,0,1,1,1,0,0
WO2019052596A1,1,0,1,1,1,0,0
CN109278527A,1,0,1,1,1,0,0
WO2019020142A1,1,0,1,1,1,0,0
WO2019102099A3,1,0,1,1,1,0,0
WO2019115216A1,1,0,1,1,1,0,0
GB2509084B,1,0,1,1,1,1,0
EP2698269A3,1,1,0,1,1,1,0
EP1243788A1,1,1,0,1,1,1,0
US8905885,1,1,0,1,1,1,0
FR3005900B1,1,1,1,1,1,1,0
FR3005903B1,1,1,1,1,1,1,0
FR3005904B1,1,1,1,1,1,1,0
FR3005902B1,1,1,1,1,1,1,0
FR3005906B1,1,1,1,1,1,1,0
FR3005905B1,1,1,1,1,1,1,0
WO2014049249A1,1,1,1,1,1,1,0
US7485061,1,1,1,1,0,0,0
EP1449701A1,1,1,1,1,0,0,0
US6719656,1,1,1,1,0,0,0
US20040204286A1,1,1,1,1,0,0,0
EP2244899B1,1,1,1,1,0,0,0
US7114585,1,1,1,1,0,0,0
US20060289209A1,1,1,1,1,0,0,0
US5562565,1,1,1,1,0,0,0
US9653961,1,1,0,1,1,1,0
WO2015075365A3,1,1,0,1,1,1,0
US9421854,1,1,0,1,1,1,0
US20190241057A1,1,1,0,1,1,1,0
WO2002085659A1,1,1,1,1,0,0,0
US20070289833A1,1,1,1,1,0,0,0
US10179506,1,1,1,1,0,0,0
US9266419,1,1,1,1,0,0,0
DE10120174A1,1,1,1,1,0,0,0
EP1253036A1,1,1,1,1,0,0,0
US9481234,1,1,0,1,1,1,0
WO2017168377A8,1,1,0,1,1,1,0
US7679238,1,1,1,1,0,0,0
US9636990,1,1,1,1,0,0,0
US6308794,1,1,1,1,0,0,0
EP1870273B1,1,1,1,1,0,0,0
WO2017057190A1,1,1,1,1,0,0,0
US8851216,1,1,1,1,0,0,0
US6880664,1,1,1,1,0,0,0
US7223191,1,1,1,1,0,0,0
JP4742198B2,1,1,1,1,0,0,0
US7448975,1,1,1,1,0,0,0
US9027726,1,1,1,1,0,0,0
DE10245855B4,1,1,1,1,0,0,0
US8636091,1,1,1,1,0,0,0
US9446763,1,1,1,1,0,0,0
WO2018086925A1,1,1,1,1,0,0,0
